Number.of.Homicide.Convictions,Number.of.Homicide.Unsuccessful,Number.of.Offences.Against.The.Person.Convictions,Number.of.Offences.Against.The.Person.Unsuccessful,Number.of.Sexual.Offences.Convictions,Number.of.Sexual.Offences.Unsuccessful,Number.of.Burglary.Convictions,Number.of.Burglary.Unsuccessful,Number.of.Robbery.Convictions,Number.of.Robbery.Unsuccessful,Number.of.Theft.And.Handling.Convictions,Number.of.Theft.And.Handling.Unsuccessful,Number.of.Fraud.And.Forgery.Convictions,Number.of.Fraud.And.Forgery.Unsuccessful,Number.of.Criminal.Damage.Convictions,Number.of.Criminal.Damage.Unsuccessful,Number.of.Drugs.Offences.Convictions,Number.of.Drugs.Offences.Unsuccessful,Number.of.Public.Order.Offences.Convictions,Number.of.Public.Order.Offences.Unsuccessful,Number.of.All.Other.Offences..excluding.Motoring..Convictions,Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful,Number.of.Motoring.Offences.Convictions,Number.of.Motoring.Offences.Unsuccessful,Number.of.Admin.Finalised.Unsuccessful
1 ,0 ,296 ,73 ,35 ,8 ,34 ,4 ,7 ,1 ,159 ,7 ,17 ,0 ,40 ,5 ,56 ,0 ,68 ,8,19,0,184,22,24
1 ,0 ,163 ,45 ,8 ,0 ,25 ,1 ,3 ,0 ,138 ,6 ,20 ,5 ,26 ,3 ,55 ,1 ,39 ,6,8,3,128,26,10
0 ,0 ,175 ,27 ,11 ,2 ,14 ,2 ,7 ,2 ,129 ,12 ,13 ,2 ,36 ,5 ,40 ,7 ,63 ,4,13,1,67,14,20
4 ,0 ,310 ,77 ,24 ,4 ,23 ,4 ,12 ,5 ,139 ,13 ,38 ,5 ,63 ,9 ,80 ,3 ,56 ,10,28,3,162,20,40
0 ,0 ,254 ,80 ,22 ,1 ,36 ,2 ,8 ,1 ,244 ,18 ,19 ,7 ,55 ,5 ,60 ,2 ,106 ,11,17,1,231,42,12
1 ,0 ,178 ,27 ,28 ,12 ,26 ,5 ,5 ,1 ,72 ,6 ,11 ,1 ,21 ,4 ,43 ,4 ,49 ,6,11,1,124,35,15
1 ,0 ,125 ,28 ,3 ,0 ,17 ,5 ,0 ,2 ,87 ,11 ,8 ,3 ,24 ,0 ,33 ,2 ,37 ,10,11,6,124,36,8
0 ,0 ,305 ,68 ,32 ,10 ,14 ,0 ,4 ,0 ,179 ,10 ,16 ,5 ,33 ,6 ,176 ,9 ,107 ,6,14,7,225,32,19
12 ,1 ,1363 ,638 ,142 ,60 ,158 ,55 ,87 ,22 ,687 ,143 ,175 ,31 ,210 ,47 ,917 ,86 ,426 ,134,175,35,964,323,214
0 ,0 ,158 ,35 ,5 ,2 ,14 ,1 ,4 ,0 ,103 ,7 ,14 ,1 ,45 ,4 ,54 ,1 ,89 ,6,6,1,134,11,10
0 ,0 ,126 ,23 ,8 ,1 ,9 ,3 ,0 ,0 ,54 ,5 ,5 ,0 ,15 ,0 ,22 ,2 ,21 ,4,4,0,95,11,16
2 ,0 ,242 ,80 ,52 ,23 ,49 ,7 ,9 ,1 ,231 ,18 ,23 ,5 ,66 ,9 ,58 ,12 ,157 ,24,12,1,185,33,11
0 ,1 ,187 ,38 ,14 ,3 ,22 ,1 ,2 ,0 ,108 ,8 ,5 ,0 ,24 ,2 ,32 ,2 ,67 ,5,7,0,138,13,5
1 ,0 ,112 ,13 ,10 ,3 ,22 ,1 ,0 ,0 ,88 ,5 ,10 ,3 ,22 ,3 ,30 ,3 ,50 ,7,15,4,124,11,14
4 ,0 ,247 ,66 ,28 ,8 ,23 ,4 ,9 ,2 ,150 ,13 ,16 ,1 ,44 ,6 ,87 ,10 ,69 ,9,12,2,139,18,25
2 ,0 ,382 ,131 ,27 ,12 ,27 ,8 ,6 ,0 ,252 ,21 ,24 ,4 ,61 ,7 ,114 ,5 ,146 ,39,14,2,225,77,11
3 ,1 ,209 ,70 ,14 ,2 ,40 ,6 ,25 ,0 ,157 ,27 ,24 ,4 ,48 ,8 ,74 ,5 ,88 ,9,13,2,167,19,57
0 ,0 ,194 ,59 ,24 ,9 ,18 ,4 ,5 ,0 ,123 ,12 ,19 ,3 ,34 ,6 ,61 ,2 ,56 ,12,18,3,129,27,24
2 ,0 ,94 ,15 ,8 ,2 ,5 ,0 ,8 ,1 ,62 ,2 ,7 ,1 ,19 ,3 ,43 ,2 ,41 ,2,6,0,84,4,8
3 ,0 ,129 ,34 ,21 ,7 ,13 ,1 ,1 ,0 ,57 ,6 ,13 ,2 ,21 ,3 ,18 ,0 ,20 ,2,10,0,95,11,7
0 ,0 ,257 ,67 ,28 ,11 ,18 ,0 ,5 ,4 ,90 ,5 ,18 ,3 ,25 ,4 ,71 ,4 ,55 ,12,10,0,180,28,11
4 ,1 ,333 ,103 ,46 ,15 ,58 ,2 ,7 ,3 ,233 ,22 ,36 ,5 ,73 ,9 ,98 ,7 ,81 ,10,32,1,318,40,30
0 ,0 ,65 ,16 ,9 ,4 ,13 ,1 ,3 ,0 ,42 ,9 ,10 ,1 ,9 ,4 ,21 ,2 ,19 ,4,4,0,78,21,11
6 ,0 ,220 ,60 ,20 ,9 ,25 ,5 ,4 ,2 ,112 ,8 ,16 ,4 ,41 ,5 ,56 ,2 ,75 ,6,11,2,190,27,12
11 ,1 ,609 ,172 ,66 ,23 ,63 ,13 ,30 ,9 ,446 ,26 ,59 ,11 ,89 ,16 ,211 ,13 ,253 ,38,69,15,280,68,92
5 ,2 ,446 ,73 ,71 ,33 ,84 ,5 ,15 ,1 ,243 ,15 ,34 ,6 ,70 ,13 ,137 ,5 ,154 ,15,24,8,236,21,51
0 ,0 ,85 ,13 ,12 ,0 ,7 ,1 ,0 ,0 ,58 ,1 ,8 ,0 ,13 ,1 ,25 ,0 ,21 ,3,7,1,64,2,4
125 ,25 ,11455 ,3097 ,1149 ,447 ,1278 ,256 ,359 ,86 ,8346 ,690 ,1075 ,180 ,1925 ,370 ,4383 ,271 ,3458 ,638,787,145,"7,598","1,412",740
2 ,1 ,275 ,63 ,37 ,16 ,25 ,1 ,12 ,2 ,200 ,17 ,34 ,7 ,63 ,13 ,97 ,1 ,70 ,7,11,0,196,29,15
0 ,0 ,89 ,26 ,12 ,0 ,10 ,1 ,6 ,0 ,71 ,3 ,10 ,2 ,13 ,3 ,29 ,3 ,15 ,3,7,1,92,29,13
2 ,0 ,151 ,34 ,17 ,5 ,19 ,2 ,5 ,1 ,120 ,12 ,9 ,2 ,23 ,8 ,30 ,1 ,34 ,6,14,4,109,15,16
1 ,1 ,280 ,46 ,27 ,8 ,26 ,1 ,6 ,0 ,174 ,10 ,26 ,0 ,37 ,5 ,116 ,2 ,111 ,12,13,0,156,24,11
1 ,0 ,121 ,39 ,6 ,0 ,29 ,7 ,2 ,0 ,238 ,10 ,8 ,2 ,38 ,5 ,54 ,14 ,60 ,10,6,0,79,11,3
0 ,0 ,116 ,19 ,6 ,0 ,6 ,0 ,1 ,0 ,73 ,8 ,6 ,2 ,28 ,2 ,39 ,2 ,42 ,2,12,0,81,8,2
0 ,0 ,242 ,47 ,3 ,0 ,14 ,5 ,9 ,4 ,170 ,27 ,21 ,1 ,61 ,9 ,56 ,4 ,58 ,9,24,0,112,13,6
4 ,1 ,267 ,56 ,18 ,2 ,28 ,1 ,3 ,4 ,102 ,5 ,19 ,4 ,30 ,5 ,73 ,1 ,51 ,10,9,5,204,37,16
1 ,0 ,142 ,20 ,11 ,1 ,12 ,2 ,0 ,0 ,103 ,4 ,9 ,1 ,26 ,1 ,54 ,1 ,49 ,8,10,1,97,8,10
0 ,0 ,144 ,21 ,4 ,0 ,23 ,5 ,2 ,1 ,117 ,9 ,6 ,3 ,30 ,4 ,29 ,0 ,34 ,6,12,1,101,4,5
2 ,0 ,67 ,16 ,7 ,6 ,5 ,1 ,2 ,0 ,42 ,2 ,3 ,0 ,12 ,1 ,48 ,2 ,33 ,2,4,3,80,23,6
6 ,2 ,346 ,101 ,48 ,15 ,25 ,4 ,9 ,1 ,188 ,18 ,27 ,9 ,62 ,7 ,91 ,7 ,70 ,20,20,5,204,39,14
3 ,0 ,79 ,22 ,4 ,0 ,13 ,2 ,1 ,0 ,70 ,5 ,6 ,1 ,13 ,4 ,26 ,0 ,12 ,3,2,0,65,6,8
5 ,1 ,604 ,156 ,112 ,42 ,61 ,10 ,16 ,2 ,318 ,12 ,34 ,1 ,91 ,16 ,152 ,6 ,160 ,18,48,15,387,54,30
0 ,0 ,122 ,18 ,11 ,3 ,13 ,0 ,3 ,1 ,97 ,6 ,5 ,2 ,21 ,5 ,58 ,1 ,25 ,4,5,0,84,14,5
4 ,0 ,269 ,38 ,41 ,7 ,34 ,2 ,6 ,0 ,176 ,15 ,17 ,6 ,39 ,7 ,85 ,3 ,61 ,11,16,4,213,22,14
1 ,1 ,221 ,65 ,17 ,2 ,21 ,7 ,5 ,0 ,220 ,13 ,39 ,3 ,36 ,12 ,71 ,4 ,53 ,14,11,3,157,33,11
3 ,0 ,152 ,28 ,28 ,11 ,29 ,7 ,10 ,0 ,184 ,9 ,11 ,2 ,47 ,7 ,61 ,4 ,74 ,5,16,10,121,9,6
11 ,0 ,244 ,61 ,22 ,14 ,44 ,3 ,10 ,5 ,157 ,19 ,39 ,12 ,31 ,5 ,63 ,4 ,53 ,4,10,3,170,31,23
3 ,2 ,330 ,87 ,24 ,2 ,42 ,8 ,11 ,4 ,271 ,18 ,34 ,2 ,63 ,17 ,100 ,5 ,135 ,16,27,1,283,48,13
6 ,2 ,173 ,49 ,25 ,8 ,22 ,7 ,5 ,2 ,90 ,9 ,15 ,1 ,33 ,2 ,37 ,6 ,52 ,10,12,0,147,20,5
0 ,0 ,166 ,33 ,5 ,0 ,22 ,1 ,3 ,0 ,102 ,9 ,9 ,2 ,24 ,3 ,37 ,2 ,46 ,6,6,3,124,42,6
2 ,0 ,356 ,72 ,46 ,15 ,24 ,5 ,10 ,0 ,236 ,13 ,25 ,2 ,49 ,10 ,189 ,4 ,120 ,19,13,2,219,33,17
20 ,5 ,1814 ,739 ,161 ,72 ,240 ,61 ,83 ,23 ,1119 ,173 ,260 ,50 ,267 ,63 ,1166 ,97 ,530 ,152,152,35,"1,009",349,211
0 ,1 ,193 ,44 ,13 ,2 ,14 ,3 ,6 ,2 ,121 ,11 ,12 ,0 ,48 ,2 ,52 ,4 ,69 ,19,11,0,111,16,13
1 ,0 ,125 ,41 ,6 ,1 ,17 ,4 ,6 ,0 ,75 ,6 ,12 ,2 ,26 ,6 ,35 ,1 ,33 ,4,5,0,95,25,11
4 ,0 ,339 ,128 ,57 ,25 ,54 ,8 ,12 ,0 ,331 ,28 ,31 ,3 ,62 ,21 ,96 ,7 ,146 ,52,15,6,243,40,7
1 ,0 ,173 ,36 ,14 ,4 ,10 ,5 ,2 ,0 ,128 ,1 ,10 ,2 ,35 ,7 ,48 ,2 ,47 ,14,7,0,81,15,3
1 ,0 ,116 ,30 ,7 ,1 ,10 ,8 ,8 ,0 ,108 ,8 ,7 ,2 ,23 ,3 ,51 ,4 ,44 ,5,9,0,107,7,6
2 ,0 ,258 ,97 ,36 ,15 ,30 ,5 ,7 ,7 ,262 ,15 ,25 ,4 ,46 ,15 ,98 ,3 ,90 ,16,25,2,139,28,11
5 ,3 ,397 ,127 ,27 ,14 ,51 ,13 ,5 ,1 ,294 ,14 ,17 ,1 ,50 ,7 ,204 ,3 ,137 ,20,19,2,299,79,5
1 ,0 ,197 ,68 ,3 ,0 ,25 ,10 ,8 ,4 ,289 ,12 ,11 ,4 ,55 ,15 ,88 ,5 ,87 ,14,26,0,171,17,14
4 ,1 ,221 ,48 ,24 ,6 ,16 ,3 ,5 ,1 ,157 ,10 ,14 ,0 ,50 ,14 ,61 ,4 ,67 ,4,15,1,164,49,9
0 ,0 ,119 ,20 ,7 ,1 ,9 ,0 ,1 ,0 ,81 ,5 ,8 ,2 ,19 ,5 ,41 ,0 ,39 ,6,4,0,77,5,11
0 ,0 ,149 ,35 ,9 ,13 ,7 ,1 ,6 ,1 ,59 ,9 ,8 ,1 ,19 ,5 ,42 ,1 ,24 ,8,6,0,122,6,13
1 ,0 ,278 ,63 ,25 ,21 ,27 ,3 ,3 ,3 ,205 ,15 ,20 ,3 ,30 ,8 ,83 ,2 ,53 ,18,16,3,180,21,16
2 ,1 ,421 ,140 ,54 ,29 ,44 ,4 ,5 ,1 ,292 ,30 ,45 ,8 ,52 ,11 ,141 ,2 ,114 ,28,25,5,276,31,17
1 ,1 ,81 ,14 ,8 ,2 ,8 ,1 ,3 ,0 ,53 ,5 ,7 ,2 ,9 ,2 ,21 ,4 ,19 ,1,5,2,95,20,4
0 ,0 ,173 ,50 ,35 ,13 ,16 ,3 ,1 ,5 ,180 ,10 ,23 ,4 ,35 ,3 ,64 ,5 ,68 ,4,22,2,200,32,8
14 ,1 ,810 ,174 ,76 ,55 ,93 ,29 ,40 ,9 ,659 ,58 ,109 ,17 ,109 ,16 ,259 ,16 ,316 ,47,82,15,395,66,88
11 ,1 ,509 ,116 ,43 ,12 ,48 ,13 ,19 ,2 ,338 ,20 ,33 ,6 ,95 ,14 ,199 ,30 ,127 ,20,25,11,282,49,33
0 ,0 ,126 ,10 ,13 ,4 ,12 ,0 ,2 ,0 ,76 ,7 ,11 ,2 ,25 ,2 ,39 ,4 ,30 ,1,10,0,71,5,5
63 ,15 ,10343 ,3064 ,1088 ,362 ,1086 ,209 ,367 ,88 ,7147 ,640 ,832 ,131 ,1955 ,381 ,4006 ,267 ,3463 ,576,707,104,"7,192","1,252",771
0 ,0 ,272 ,51 ,49 ,20 ,46 ,4 ,6 ,0 ,154 ,19 ,16 ,0 ,58 ,9 ,78 ,14 ,84 ,12,8,5,141,29,25
0 ,0 ,99 ,25 ,6 ,1 ,7 ,2 ,10 ,1 ,60 ,6 ,4 ,1 ,13 ,4 ,33 ,3 ,24 ,2,7,0,83,17,10
1 ,1 ,125 ,31 ,7 ,3 ,7 ,1 ,4 ,4 ,95 ,9 ,15 ,1 ,21 ,5 ,38 ,1 ,34 ,5,6,0,73,7,14
2 ,0 ,264 ,61 ,23 ,9 ,18 ,1 ,1 ,0 ,173 ,12 ,17 ,1 ,51 ,4 ,74 ,4 ,108 ,13,16,1,208,26,5
0 ,0 ,116 ,41 ,8 ,0 ,38 ,9 ,4 ,0 ,200 ,8 ,6 ,0 ,28 ,10 ,81 ,7 ,47 ,7,9,5,65,6,6
1 ,0 ,102 ,14 ,11 ,0 ,8 ,2 ,0 ,0 ,98 ,6 ,5 ,1 ,24 ,7 ,33 ,0 ,48 ,2,4,0,83,3,2
1 ,0 ,152 ,36 ,4 ,0 ,10 ,3 ,7 ,2 ,113 ,8 ,7 ,2 ,24 ,6 ,55 ,5 ,64 ,11,17,4,118,32,14
0 ,1 ,215 ,50 ,21 ,1 ,21 ,7 ,10 ,0 ,110 ,5 ,21 ,2 ,50 ,3 ,67 ,5 ,61 ,10,10,0,171,27,6
4 ,0 ,134 ,26 ,12 ,2 ,16 ,2 ,4 ,1 ,90 ,5 ,2 ,0 ,23 ,4 ,43 ,0 ,40 ,4,8,0,106,11,17
0 ,0 ,91 ,25 ,6 ,0 ,8 ,1 ,5 ,1 ,121 ,6 ,19 ,1 ,23 ,2 ,19 ,0 ,35 ,4,8,1,70,4,8
0 ,0 ,83 ,12 ,7 ,2 ,4 ,1 ,4 ,0 ,32 ,2 ,7 ,1 ,26 ,3 ,59 ,4 ,22 ,1,7,0,70,18,1
4 ,0 ,272 ,89 ,37 ,22 ,17 ,4 ,11 ,3 ,165 ,29 ,15 ,6 ,59 ,5 ,118 ,4 ,68 ,15,10,1,206,36,24
0 ,0 ,74 ,33 ,3 ,1 ,11 ,0 ,0 ,1 ,48 ,4 ,6 ,1 ,17 ,3 ,27 ,2 ,30 ,4,5,1,67,5,10
3 ,0 ,521 ,135 ,81 ,37 ,61 ,5 ,10 ,6 ,270 ,16 ,23 ,1 ,93 ,12 ,109 ,9 ,154 ,20,33,4,348,60,36
1 ,0 ,112 ,20 ,6 ,4 ,9 ,2 ,5 ,1 ,74 ,4 ,6 ,0 ,25 ,9 ,41 ,3 ,20 ,0,2,2,75,11,4
4 ,0 ,236 ,45 ,39 ,7 ,28 ,1 ,8 ,1 ,172 ,6 ,21 ,2 ,46 ,3 ,68 ,4 ,88 ,8,11,2,196,15,30
0 ,1 ,187 ,51 ,17 ,2 ,10 ,3 ,6 ,0 ,161 ,9 ,23 ,2 ,30 ,10 ,91 ,6 ,54 ,8,11,3,112,26,10
2 ,0 ,155 ,35 ,23 ,11 ,17 ,6 ,11 ,1 ,154 ,9 ,8 ,0 ,46 ,1 ,65 ,4 ,82 ,7,7,2,111,18,10
4 ,0 ,265 ,66 ,25 ,12 ,22 ,6 ,12 ,3 ,136 ,16 ,33 ,3 ,34 ,3 ,98 ,4 ,64 ,9,25,1,163,23,16
2 ,0 ,260 ,51 ,16 ,2 ,43 ,5 ,5 ,1 ,223 ,16 ,19 ,1 ,43 ,10 ,74 ,5 ,127 ,23,18,1,208,38,6
2 ,0 ,143 ,36 ,14 ,6 ,11 ,5 ,2 ,0 ,109 ,5 ,5 ,1 ,35 ,7 ,26 ,0 ,32 ,2,9,5,112,32,7
2 ,0 ,160 ,31 ,7 ,0 ,27 ,3 ,1 ,0 ,118 ,17 ,9 ,1 ,28 ,4 ,25 ,0 ,75 ,10,20,6,136,19,7
0 ,0 ,301 ,66 ,36 ,3 ,23 ,0 ,13 ,1 ,208 ,12 ,21 ,0 ,74 ,7 ,199 ,9 ,100 ,9,28,3,270,30,7
13 ,5 ,1697 ,821 ,131 ,65 ,179 ,49 ,84 ,26 ,1045 ,189 ,235 ,51 ,244 ,73 ,1029 ,93 ,491 ,153,129,17,973,298,190
0 ,0 ,201 ,45 ,23 ,1 ,14 ,0 ,1 ,0 ,135 ,9 ,8 ,0 ,38 ,6 ,68 ,0 ,91 ,10,18,3,120,12,12
3 ,0 ,109 ,27 ,7 ,1 ,16 ,0 ,1 ,0 ,64 ,4 ,6 ,1 ,18 ,2 ,25 ,0 ,29 ,4,5,1,88,13,11
1 ,1 ,287 ,96 ,50 ,14 ,49 ,14 ,6 ,2 ,236 ,38 ,31 ,4 ,66 ,17 ,52 ,10 ,139 ,36,19,3,217,43,9
0 ,0 ,153 ,37 ,20 ,2 ,17 ,3 ,3 ,1 ,109 ,8 ,14 ,4 ,54 ,6 ,35 ,3 ,63 ,6,6,1,107,13,8
0 ,0 ,139 ,31 ,8 ,1 ,16 ,9 ,3 ,0 ,108 ,6 ,7 ,4 ,33 ,6 ,37 ,0 ,58 ,8,11,0,122,5,8
0 ,0 ,229 ,74 ,54 ,10 ,16 ,4 ,14 ,3 ,136 ,14 ,11 ,3 ,52 ,13 ,115 ,13 ,82 ,13,12,2,167,21,40
3 ,2 ,389 ,149 ,33 ,8 ,40 ,11 ,15 ,3 ,222 ,14 ,18 ,1 ,84 ,11 ,150 ,4 ,121 ,14,18,5,245,51,11
0 ,0 ,211 ,63 ,8 ,1 ,26 ,3 ,8 ,1 ,257 ,12 ,9 ,1 ,65 ,10 ,78 ,5 ,97 ,9,15,1,186,24,25
3 ,0 ,246 ,70 ,20 ,7 ,31 ,4 ,16 ,1 ,153 ,13 ,9 ,0 ,46 ,15 ,69 ,0 ,61 ,9,21,3,167,37,8
0 ,0 ,124 ,19 ,4 ,2 ,13 ,1 ,2 ,0 ,58 ,7 ,4 ,1 ,28 ,1 ,28 ,1 ,38 ,8,5,0,77,5,7
0 ,0 ,118 ,32 ,22 ,1 ,10 ,1 ,2 ,0 ,35 ,2 ,5 ,0 ,12 ,2 ,34 ,1 ,29 ,6,2,0,104,7,9
0 ,0 ,241 ,63 ,25 ,17 ,12 ,2 ,3 ,3 ,128 ,4 ,17 ,4 ,31 ,9 ,111 ,4 ,60 ,14,16,5,190,16,13
2 ,1 ,353 ,137 ,54 ,28 ,38 ,12 ,10 ,5 ,197 ,17 ,37 ,6 ,48 ,22 ,115 ,5 ,118 ,24,30,1,274,49,19
0 ,0 ,87 ,20 ,5 ,3 ,5 ,0 ,2 ,0 ,66 ,4 ,4 ,1 ,18 ,5 ,25 ,0 ,23 ,4,4,0,88,23,6
4 ,2 ,213 ,47 ,33 ,6 ,24 ,2 ,7 ,2 ,176 ,14 ,5 ,1 ,37 ,10 ,74 ,5 ,68 ,8,11,1,209,29,13
1 ,1 ,655 ,164 ,61 ,32 ,59 ,11 ,39 ,9 ,587 ,37 ,61 ,15 ,109 ,13 ,245 ,15 ,255 ,41,66,14,337,62,76
0 ,0 ,452 ,127 ,61 ,15 ,54 ,6 ,11 ,5 ,282 ,16 ,34 ,5 ,81 ,28 ,156 ,11 ,133 ,17,34,0,262,43,27
0 ,0 ,100 ,12 ,11 ,3 ,5 ,4 ,1 ,0 ,69 ,3 ,9 ,1 ,20 ,1 ,39 ,4 ,46 ,6,6,0,67,8,4
125 ,25 ,9015 ,2543 ,992 ,317 ,1040 ,179 ,284 ,91 ,6707 ,526 ,762 ,115 ,1596 ,303 ,3608 ,254 ,2766 ,478,635,90,"6,656","1,077",937
6 ,2 ,299 ,70 ,37 ,15 ,30 ,12 ,9 ,0 ,205 ,15 ,9 ,6 ,40 ,11 ,81 ,5 ,74 ,17,16,5,164,19,30
1 ,0 ,70 ,31 ,3 ,1 ,5 ,0 ,4 ,2 ,58 ,14 ,8 ,0 ,18 ,1 ,30 ,0 ,19 ,1,4,2,95,24,22
1 ,0 ,96 ,16 ,6 ,1 ,22 ,0 ,1 ,0 ,114 ,9 ,10 ,1 ,11 ,4 ,34 ,1 ,23 ,5,3,0,105,10,13
1 ,1 ,192 ,62 ,20 ,7 ,9 ,0 ,3 ,0 ,169 ,3 ,12 ,0 ,29 ,4 ,73 ,1 ,71 ,5,13,1,172,15,11
4 ,0 ,124 ,29 ,6 ,0 ,40 ,5 ,3 ,1 ,200 ,9 ,29 ,2 ,24 ,8 ,65 ,5 ,49 ,9,14,1,85,10,11
2 ,0 ,97 ,6 ,5 ,0 ,6 ,1 ,4 ,0 ,83 ,2 ,5 ,0 ,25 ,2 ,35 ,1 ,46 ,5,5,0,90,7,1
1 ,0 ,112 ,38 ,11 ,0 ,14 ,3 ,2 ,2 ,128 ,5 ,4 ,2 ,34 ,5 ,45 ,1 ,41 ,5,7,0,69,10,11
5 ,0 ,183 ,49 ,12 ,2 ,21 ,2 ,1 ,1 ,145 ,4 ,10 ,0 ,35 ,5 ,82 ,3 ,67 ,7,18,2,173,20,9
0 ,0 ,117 ,12 ,9 ,1 ,11 ,3 ,5 ,0 ,77 ,1 ,5 ,2 ,19 ,1 ,41 ,2 ,28 ,5,3,0,86,5,7
1 ,0 ,88 ,19 ,4 ,0 ,17 ,3 ,0 ,0 ,105 ,7 ,6 ,0 ,23 ,7 ,13 ,1 ,21 ,7,5,0,100,8,4
1 ,1 ,69 ,17 ,3 ,1 ,7 ,2 ,1 ,0 ,21 ,1 ,1 ,0 ,14 ,0 ,38 ,1 ,16 ,3,4,0,69,13,6
6 ,1 ,238 ,58 ,41 ,7 ,35 ,7 ,6 ,2 ,173 ,15 ,16 ,3 ,33 ,5 ,82 ,3 ,42 ,6,15,4,163,30,11
3 ,0 ,63 ,13 ,2 ,0 ,11 ,1 ,3 ,1 ,46 ,3 ,5 ,0 ,8 ,3 ,23 ,2 ,7 ,3,4,0,55,2,10
6 ,0 ,474 ,114 ,85 ,25 ,58 ,4 ,31 ,5 ,231 ,12 ,26 ,1 ,84 ,8 ,147 ,8 ,100 ,12,42,5,284,65,23
1 ,0 ,105 ,24 ,11 ,2 ,16 ,2 ,0 ,0 ,76 ,2 ,6 ,0 ,21 ,4 ,33 ,3 ,36 ,3,4,0,87,15,1
4 ,0 ,196 ,34 ,26 ,6 ,30 ,0 ,2 ,0 ,185 ,10 ,18 ,4 ,36 ,3 ,88 ,2 ,56 ,13,15,1,175,9,19
5 ,0 ,144 ,32 ,9 ,1 ,7 ,2 ,2 ,0 ,128 ,10 ,17 ,4 ,24 ,4 ,67 ,2 ,32 ,7,12,2,121,24,20
1 ,0 ,201 ,37 ,25 ,8 ,39 ,6 ,7 ,1 ,141 ,12 ,10 ,0 ,40 ,6 ,53 ,6 ,71 ,13,13,0,101,9,4
7 ,2 ,243 ,73 ,21 ,7 ,23 ,1 ,4 ,0 ,134 ,24 ,23 ,3 ,32 ,3 ,85 ,4 ,59 ,9,25,6,125,17,18
2 ,0 ,215 ,63 ,15 ,0 ,44 ,2 ,6 ,0 ,204 ,10 ,14 ,1 ,49 ,12 ,64 ,4 ,98 ,7,15,4,201,32,16
3 ,0 ,135 ,30 ,23 ,6 ,13 ,4 ,2 ,2 ,82 ,5 ,9 ,1 ,29 ,4 ,21 ,0 ,36 ,2,4,0,107,24,11
2 ,0 ,132 ,31 ,9 ,0 ,24 ,2 ,5 ,1 ,97 ,10 ,12 ,4 ,19 ,2 ,21 ,1 ,36 ,4,11,4,106,29,17
2 ,0 ,310 ,59 ,20 ,8 ,16 ,0 ,6 ,0 ,163 ,14 ,10 ,0 ,40 ,10 ,167 ,7 ,58 ,3,15,4,210,27,19
20 ,7 ,1461 ,637 ,152 ,69 ,166 ,41 ,62 ,31 ,880 ,129 ,247 ,42 ,216 ,71 ,973 ,103 ,442 ,130,96,20,950,211,267
0 ,0 ,146 ,31 ,9 ,2 ,17 ,0 ,2 ,0 ,125 ,7 ,5 ,0 ,16 ,4 ,54 ,1 ,75 ,5,12,0,141,5,14
1 ,1 ,77 ,28 ,4 ,0 ,7 ,0 ,5 ,1 ,69 ,5 ,3 ,1 ,22 ,5 ,25 ,2 ,24 ,3,4,0,65,11,19
6 ,2 ,240 ,84 ,34 ,22 ,42 ,14 ,2 ,6 ,278 ,38 ,22 ,7 ,57 ,16 ,62 ,11 ,131 ,30,20,2,183,103,27
0 ,0 ,125 ,28 ,23 ,7 ,9 ,1 ,2 ,0 ,108 ,1 ,11 ,0 ,32 ,4 ,27 ,1 ,45 ,6,11,0,97,11,8
1 ,0 ,107 ,29 ,4 ,2 ,5 ,2 ,1 ,0 ,120 ,7 ,5 ,4 ,40 ,4 ,29 ,1 ,35 ,6,14,2,119,12,4
5 ,1 ,212 ,72 ,46 ,12 ,24 ,4 ,4 ,1 ,147 ,21 ,12 ,0 ,43 ,12 ,111 ,7 ,80 ,13,24,1,139,21,44
6 ,0 ,317 ,76 ,26 ,5 ,27 ,2 ,4 ,2 ,214 ,10 ,19 ,2 ,53 ,9 ,138 ,6 ,117 ,17,9,3,206,18,17
3 ,1 ,212 ,72 ,12 ,1 ,20 ,5 ,7 ,2 ,196 ,8 ,13 ,0 ,50 ,13 ,69 ,7 ,78 ,9,9,0,158,27,20
0 ,0 ,175 ,42 ,23 ,5 ,28 ,4 ,3 ,0 ,160 ,11 ,7 ,1 ,32 ,9 ,52 ,8 ,64 ,12,12,1,146,20,8
1 ,1 ,106 ,15 ,7 ,0 ,6 ,1 ,2 ,0 ,52 ,0 ,2 ,0 ,22 ,2 ,35 ,4 ,33 ,5,7,0,96,5,11
0 ,0 ,95 ,33 ,16 ,5 ,4 ,1 ,3 ,0 ,56 ,1 ,7 ,2 ,15 ,3 ,28 ,4 ,20 ,3,6,1,93,4,11
0 ,0 ,196 ,34 ,21 ,6 ,21 ,0 ,8 ,2 ,94 ,3 ,9 ,2 ,28 ,3 ,67 ,3 ,51 ,4,18,1,182,16,16
3 ,0 ,295 ,99 ,44 ,14 ,31 ,7 ,12 ,7 ,216 ,10 ,31 ,1 ,47 ,4 ,114 ,10 ,74 ,31,22,3,233,40,40
1 ,0 ,60 ,16 ,13 ,0 ,6 ,2 ,0 ,0 ,81 ,3 ,8 ,2 ,12 ,1 ,16 ,0 ,30 ,2,1,1,59,13,3
